timestamp,strategy,sim_start_date,day_of_sim,hour_of_day,price_per_kwh,rolling_peak_kw,cumulative_demand_charge_usd,gst_level_ft,hpt_level_ft,well_speed,booster_speed,booster_count,gwtp_power_kw,gwtp_energy_cost_cumulative_usd,do_mg_l,blower_duty,blower_count,wwtp_power_kw,wwtp_energy_cost_cumulative_usd,wet_well_level_ft,ls_pump_speed,ls_pump_count,ls_power_kw,ls_energy_cost_cumulative_usd,total_power_kw,total_energy_cost_cumulative_usd,total_bill_cumulative_usd,gwtp_solve_time_s,wwtp_solve_time_s,ls_solve_time_s,gwtp_solver_status,wwtp_solver_status,ls_solver_status
2025-07-01 00:00:00,nmpc,2025-07-01 00:00:00,1,0,0.03539,20.026,70.0898,10.0,4.0,0.6233,0.2475,0,20.026,0.1772,2.0,0.0,0,0.0,0.0,5.0,0.0,0,0.0,0.0,20.026,0.1772,70.267,0.0555,0.0959,0.3723,,,
2025-07-01 00:15:00,nmpc,2025-07-01 00:00:00,1,0,0.03539,32.459,113.607,10.732,2.0,0.622,0.2561,0,20.167,0.3556,1.829,0.0,0,0.0,0.0,10.0,1.0,0,12.292,0.1088,32.459,0.4644,114.0714,0.0451,0.1579,0.4026,,,
2025-07-01 00:30:00,nmpc,2025-07-01 00:00:00,1,0,0.03539,32.459,113.607,11.451,2.0,0.6179,0.2573,0,20.094,0.5334,1.658,0.0095,0,0.429,0.0038,7.07,0.0,0,0.0,0.1088,20.522,0.6459,114.253,0.0402,0.2058,0.3908,,,
2025-07-01 00:45:00,nmpc,2025-07-01 00:00:00,1,0,0.03539,43.141,150.9945,12.161,2.0,0.6139,0.2586,0,20.025,0.7106,1.5,0.2406,0,10.825,0.0996,10.0,1.0,0,12.292,0.2175,43.141,1.0276,152.0221,0.0401,0.0665,0.385,,,
2025-07-01 01:00:00,nmpc,2025-07-01 00:00:00,1,1,0.03589,43.141,150.9945,12.863,2.0,0.6099,0.2602,0,19.961,0.8897,1.671,0.0002,0,0.008,0.0996,7.07,0.0,0,0.0,0.2175,19.969,1.2068,152.2013,0.0412,0.032,0.3691,,,
2025-07-01 01:15:00,nmpc,2025-07-01 00:00:00,1,1,0.03589,43.141,150.9945,13.555,2.0,0.606,0.2619,0,19.901,1.0682,1.5,0.2406,0,10.825,0.1968,10.0,1.0,0,12.292,0.3278,43.017,1.5928,152.5873,0.0397,0.0418,0.3965,,,
2025-07-01 01:30:00,nmpc,2025-07-01 00:00:00,1,1,0.03589,43.141,150.9945,14.239,2.0,0.4806,0.2913,0,17.483,1.2251,1.671,0.0002,0,0.008,0.1968,7.07,0.0,0,0.0,0.3278,17.491,1.7497,152.7442,1.0055,0.0348,0.4194,,,
2025-07-01 01:45:00,nmpc,2025-07-01 00:00:00,1,1,0.03589,43.141,150.9945,14.671,2.0,0.3048,0.325,0,13.94,1.3501,1.5,0.1203,0,5.413,0.2454,10.0,1.0,0,12.292,0.4381,31.644,2.0336,153.0281,1.0153,0.0372,0.3651,,,
2025-07-01 02:00:00,nmpc,2025-07-01 00:00:00,1,2,0.0331,43.141,150.9945,14.759,2.0,0.2671,0.3332,0,13.198,1.4594,1.5,0.2107,0,9.482,0.3239,7.07,0.0,0,0.0,0.4381,22.68,2.2213,153.2158,1.0257,0.0464,0.4047,,,
2025-07-01 02:15:00,nmpc,2025-07-01 00:00:00,1,2,0.0331,43.141,150.9945,14.773,2.0,0.3063,0.3515,0,14.513,1.5795,1.65,0.0,0,0.0,0.3239,10.0,1.0,0,12.292,0.5398,26.804,2.4431,153.4376,1.0399,0.0355,0.3903,,,
2025-07-01 02:30:00,nmpc,2025-07-01 00:00:00,1,2,0.0331,43.141,150.9945,14.829,2.0,0.2449,0.3509,0,13.026,1.6872,1.5,0.2107,0,9.483,0.4023,6.17,0.0,0,0.0,0.5398,22.509,2.6294,153.6239,1.1521,0.0548,0.4002,,,
2025-07-01 02:45:00,nmpc,2025-07-01 00:00:00,1,2,0.0331,43.141,150.9945,14.781,2.0,0.3502,0.3718,0,15.984,1.8195,1.65,0.0,0,0.0,0.4023,10.0,1.0,0,12.292,0.6415,28.276,2.8634,153.8579,1.2144,0.032,0.4069,,,
2025-07-01 03:00:00,nmpc,2025-07-01 00:00:00,1,3,0.0292,43.141,150.9945,14.885,2.0,0.2718,0.3648,0,13.953,1.9214,1.5,0.2108,0,9.484,0.4716,6.17,0.0,0,0.0,0.6415,23.438,3.0344,154.0289,1.2465,0.0547,0.3805,,,
2025-07-01 03:15:00,nmpc,2025-07-01 00:00:00,1,3,0.0292,43.141,150.9945,14.865,2.0,0.3206,0.3806,0,15.45,2.0342,1.65,0.0,0,0.002,0.4716,10.0,1.0,0,12.292,0.7312,27.744,3.237,154.2315,1.5766,0.0374,0.3826,,,
2025-07-01 03:30:00,nmpc,2025-07-01 00:00:00,1,3,0.0292,43.141,150.9945,14.906,2.0,0.308,0.3858,0,15.252,2.1455,1.5,0.2109,0,9.49,0.5409,6.17,0.0,0,0.0,0.7312,24.742,3.4176,154.4121,1.5562,0.0508,0.4046,,,
2025-07-01 03:45:00,nmpc,2025-07-01 00:00:00,1,3,0.0292,43.141,150.9945,14.92,2.0,0.2817,0.3779,0,14.46,2.2511,1.65,0.0001,0,0.005,0.5409,10.0,1.0,0,12.292,0.821,26.757,3.6129,154.6074,1.5418,0.0345,0.3945,,,
2025-07-01 04:00:00,nmpc,2025-07-01 00:00:00,1,4,0.03035,43.141,150.9945,14.899,2.0,0.305,0.3827,0,15.116,2.3658,1.5,0.3172,0,14.274,0.6492,6.18,0.0,0,0.0,0.821,29.39,3.8359,154.8304,0.3005,0.0507,0.3624,,,
2025-07-01 04:15:00,nmpc,2025-07-01 00:00:00,1,4,0.03035,43.141,150.9945,14.912,2.0,0.2787,0.3748,0,14.324,2.4744,1.802,0.0,0,0.0,0.6492,10.0,1.0,0,12.292,0.9142,26.616,4.0379,155.0324,0.9565,0.0493,0.3812,,,
2025-07-01 04:30:00,nmpc,2025-07-01 00:00:00,1,4,0.03035,43.141,150.9945,14.89,2.0,0.3037,0.3803,0,15.037,2.5885,1.651,0.0,0,0.0,0.6492,6.19,0.0,0,0.0,0.9142,15.037,4.152,155.1465,1.0886,0.1756,0.3824,,,
2025-07-01 04:45:00,nmpc,2025-07-01 00:00:00,1,4,0.03035,43.141,150.9945,14.903,2.0,0.3107,0.3864,0,15.328,2.7048,1.5,0.2132,0,9.593,0.722,10.0,1.0,0,12.292,1.0075,37.212,4.4343,155.4288,1.1384,0.0515,0.3908,,,
2025-07-01 05:00:00,nmpc,2025-07-01 00:00:00,1,5,0.03317,43.141,150.9945,14.921,2.0,0.3062,0.3885,0,15.263,2.8314,1.652,0.0001,0,0.005,0.722,6.23,0.0,0,0.0,1.0075,15.268,4.5609,155.5554,1.2212,0.0369,0.3848,,,
2025-07-01 05:15:00,nmpc,2025-07-01 00:00:00,1,5,0.03317,43.141,150.9945,14.927,2.0,0.3101,0.3919,0,15.426,2.9593,1.5,0.3269,0,14.71,0.844,10.0,1.0,0,12.292,1.1094,42.427,4.9127,155.9073,1.0045,0.0395,0.3738,,,
2025-07-01 05:30:00,nmpc,2025-07-01 00:00:00,1,5,0.03317,43.141,150.9945,14.936,2.0,0.3086,0.3936,0,15.425,3.0872,1.812,0.0,0,0.0,0.844,6.31,0.0,0,0.0,1.1094,15.425,5.0407,156.0352,1.0108,0.0459,0.3747,,,
2025-07-01 05:45:00,nmpc,2025-07-01 00:00:00,1,5,0.03317,43.141,150.9945,14.941,2.0,0.312,0.3961,0,15.557,3.2162,1.658,0.0,0,0.0,0.844,10.0,1.0,0,12.292,1.2114,27.849,5.2716,156.2661,1.0664,0.1991,0.3897,,,
2025-07-01 06:00:00,nmpc,2025-07-01 00:00:00,1,6,0.03667,43.141,150.9945,14.947,2.0,0.2999,0.3926,0,15.197,3.3556,1.5,0.1125,0,5.062,0.8904,6.48,0.0,0,0.0,1.2114,20.259,5.4573,156.4518,0.2163,0.0487,0.3972,,,
2025-07-01 06:15:00,nmpc,2025-07-01 00:00:00,1,6,0.03667,43.141,150.9945,14.938,2.0,0.3061,0.3929,0,15.352,3.4963,1.5,0.2337,0,10.515,0.9868,10.0,1.0,0,12.292,1.324,38.158,5.8071,156.8016,0.4399,0.0513,0.4,,,
2025-07-01 06:30:00,nmpc,2025-07-01 00:00:00,1,6,0.03667,43.141,150.9945,14.939,2.0,0.3049,0.3926,0,15.316,3.6367,1.669,0.0,0,0.0,0.9868,6.76,0.0,0,0.0,1.324,15.316,5.9475,156.9421,0.6398,0.0329,0.6056,,,
2025-07-01 06:45:00,nmpc,2025-07-01 00:00:00,1,6,0.03667,43.141,150.9945,14.938,2.0,0.3028,0.3915,0,15.245,3.7765,1.5,0.1225,0,5.511,1.0373,10.0,1.0,0,12.292,1.4367,33.047,6.2505,157.245,1.0289,0.0413,0.407,,,
2025-07-01 07:00:00,nmpc,2025-07-01 00:00:00,1,7,0.0291,43.141,150.9945,14.935,2.0,0.3105,0.3941,0,15.48,3.8891,1.5,0.127,0,5.716,1.0789,7.21,0.0,0,0.0,1.4367,21.196,6.4047,157.3992,0.6921,0.0289,0.4995,,,
2025-07-01 07:15:00,nmpc,2025-07-01 00:00:00,1,7,0.0291,43.141,150.9945,14.942,2.0,0.2938,0.3944,0,15.083,3.9988,1.5,0.132,0,5.941,1.1221,10.0,1.0,0,12.292,1.5261,33.317,6.6471,157.6416,1.0476,0.0299,0.4779,,,
2025-07-01 07:30:00,nmpc,2025-07-01 00:00:00,1,7,0.0291,43.141,150.9945,14.92,2.0,0.3014,0.3863,0,15.103,4.1087,1.5,0.1373,0,6.179,1.1671,7.79,1.0,0,12.292,1.6156,33.574,6.8913,157.8858,1.0167,0.0332,0.4038,,,
2025-07-01 07:45:00,nmpc,2025-07-01 00:00:00,1,7,0.0291,43.141,150.9945,14.921,2.0,0.2832,0.3789,0,14.516,4.2143,1.5,0.1426,0,6.416,1.2138,5.89,0.0,0,0.0,1.6156,20.933,7.0436,158.0381,0.3935,0.0429,0.1066,,,
2025-07-01 08:00:00,nmpc,2025-07-01 00:00:00,1,8,0.02515,43.141,150.9945,14.902,2.0,0.2472,0.3586,0,13.236,4.2975,1.5,0.1475,0,6.639,1.2555,10.0,1.0,0,12.292,1.6929,32.167,7.2459,158.2404,1.1396,0.0291,0.5157,,,
2025-07-01 08:15:00,nmpc,2025-07-01 00:00:00,1,8,0.02515,43.141,150.9945,14.848,2.0,0.299,0.3672,0,14.657,4.3897,1.5,0.1518,0,6.833,1.2985,8.73,1.0,0,12.292,1.7701,33.782,7.4583,158.4528,1.5386,0.049,0.5112,,,
2025-07-01 08:30:00,nmpc,2025-07-01 00:00:00,1,8,0.02515,43.141,150.9945,14.871,2.0,0.2804,0.366,0,14.185,4.4789,1.5,0.1552,0,6.983,1.3424,7.71,1.0,0,12.292,1.8474,33.46,7.6687,158.6632,1.0029,0.0337,0.5086,,,
2025-07-01 08:45:00,nmpc,2025-07-01 00:00:00,1,8,0.02515,43.141,150.9945,14.864,2.0,0.2625,0.3567,0,13.566,4.5642,1.5,0.3153,0,14.19,1.4316,6.9,0.0,0,0.0,1.8474,27.756,7.8432,158.8377,0.9865,0.0258,0.5297,,,
2025-07-01 09:00:00,nmpc,2025-07-01 00:00:00,1,9,0.02522,43.141,150.9945,14.838,2.0,0.2473,0.3426,0,12.912,4.6456,1.725,0.0,0,0.0,1.4316,10.0,1.0,0,12.292,1.9249,25.204,8.0021,158.9966,0.9765,0.0321,0.4668,,,
2025-07-01 09:15:00,nmpc,2025-07-01 00:00:00,1,9,0.02522,43.141,150.9945,14.806,2.0,0.2682,0.3432,0,13.429,4.7302,1.5,0.1573,0,7.079,1.4762,9.36,1.0,0,12.292,2.0024,32.8,8.2089,159.2034,1.0024,0.0379,0.465,,,
2025-07-01 09:30:00,nmpc,2025-07-01 00:00:00,1,9,0.02522,43.141,150.9945,14.808,2.0,0.2253,0.338,0,12.29,4.8077,1.5,0.1552,0,6.983,1.5203,8.68,1.0,0,12.292,2.0799,31.565,8.4079,159.4024,0.9795,0.0339,0.4536,,,
2025-07-01 09:45:00,nmpc,2025-07-01 00:00:00,1,9,0.02522,43.141,150.9945,14.744,2.0,0.2617,0.3249,0,12.9,4.8891,1.5,0.1518,0,6.833,1.5633,7.87,1.0,0,12.292,2.1574,32.024,8.6098,159.6043,0.9656,0.029,0.3954,,,
2025-07-01 10:00:00,nmpc,2025-07-01 00:00:00,1,10,0.02686,43.141,150.9945,14.759,2.0,0.2563,0.3264,0,12.801,4.975,1.5,0.1475,0,6.639,1.6079,6.86,0.0,0,0.0,2.1574,19.441,8.7404,159.7349,0.5908,0.0298,0.4187,,,
2025-07-01 10:15:00,nmpc,2025-07-01 00:00:00,1,10,0.02686,43.141,150.9945,14.763,2.0,0.2319,0.317,0,12.023,5.0558,1.5,0.1426,0,6.416,1.651,10.0,1.0,0,12.292,2.24,30.73,8.9467,159.9412,1.0389,0.0296,0.3745,,,
2025-07-01 10:30:00,nmpc,2025-07-01 00:00:00,1,10,0.02686,43.141,150.9945,14.738,2.0,0.2512,0.319,0,12.529,5.1399,1.5,0.1373,0,6.179,1.6925,8.43,1.0,0,12.292,2.3225,31.0,9.1549,160.1494,0.9687,0.0331,0.3548,,,
2025-07-01 10:45:00,nmpc,2025-07-01 00:00:00,1,10,0.02686,43.141,150.9945,14.743,2.0,0.2387,0.315,0,12.147,5.2214,1.5,0.132,0,5.941,1.7324,6.53,0.0,0,0.0,2.3225,18.088,9.2763,160.2708,1.0075,0.0217,0.4698,,,
2025-07-01 11:00:00,nmpc,2025-07-01 00:00:00,1,11,0.0302,43.141,150.9945,14.733,2.0,0.2233,0.3057,0,11.584,5.3089,1.5,0.127,0,5.716,1.7755,10.0,1.0,0,12.292,2.4153,29.592,9.4998,160.4943,0.9527,0.0269,0.38,,,
2025-07-01 11:15:00,nmpc,2025-07-01 00:00:00,1,11,0.0302,43.141,150.9945,14.708,2.0,0.2456,0.309,0,12.191,5.401,1.5,0.1225,0,5.511,1.8172,7.48,0.0,0,0.0,2.4153,17.702,9.6334,160.6279,1.0137,0.0255,0.3775,,,
2025-07-01 11:30:00,nmpc,2025-07-01 00:00:00,1,11,0.0302,43.141,150.9945,14.717,2.0,0.2351,0.3069,0,11.893,5.4908,1.5,0.1185,0,5.332,1.8574,10.0,1.0,0,12.292,2.5081,29.517,9.8563,160.8508,1.0157,0.0265,0.3728,,,
2025-07-01 11:45:00,nmpc,2025-07-01 00:00:00,1,11,0.0302,43.141,150.9945,14.711,2.0,0.1451,0.2761,0,9.103,5.5595,1.5,0.2277,0,10.244,1.9348,6.97,0.0,0,0.0,2.5081,19.348,10.0023,160.9968,1.0174,0.0214,0.1867,,,
2025-07-01 12:00:00,nmpc,2025-07-01 00:00:00,1,12,0.03556,43.141,150.9945,14.593,2.0,0.3275,0.3149,0,14.28,5.6864,1.66,0.0001,0,0.005,1.9348,10.0,1.0,0,12.292,2.6174,26.577,10.2386,161.2331,0.9931,0.035,0.383,,,
2025-07-01 12:15:00,nmpc,2025-07-01 00:00:00,1,12,0.03556,43.141,150.9945,14.733,2.0,0.2551,0.3194,0,12.63,5.7987,1.5,0.2192,0,9.865,2.0225,6.6,0.0,0,0.0,2.6174,22.495,10.4386,161.4331,1.0167,0.0457,0.3877,,,
